DOI,Cited_in_proteins,Protein_page
10.1038##s41467-022-32793-0,no,
10.1038##s41467-022-33880-y,no,
10.1038##s41467-022-34019-9,no,
10.1038##s41467-022-34120-z,no,
10.1038##s41467-023-36883-5,no,
10.1038##s41467-023-37041-7,no,
10.1038##s41467-023-37808-y,no,
10.1038##s41467-024-48536-2,no,
10.1038##s41467-024-51814-8,no,
10.1038##s41467-024-54422-8,no,
10.1038##s41477-019-0367-2,no,
10.1038##s41477-023-01421-0,no,
10.1038##s41564-020-00808-5,no,
10.1038##s41586-018-0003-8,no,
10.1038##s41586-018-0039-9,no,
10.1038##s41586-018-0046-x,no,
10.1038##s41586-018-0083-5,no,
10.1038##s41586-018-0120-4,no,
10.1038##s41586-018-0447-x,no,
10.1038##s41586-019-1141-3,no,
10.1038##s41586-019-1604-6,no,
10.1038##s41586-019-1663-8,no,
10.1038##s41586-020-1963-z,no,
10.1038##s41586-020-2019-0,no,
10.1038##s41586-020-2179-y,no,
10.1038##s41586-020-2180-5,no,
10.1038##s41586-020-2250-8,no,
10.1038##s41586-020-2597-x,no,
10.1038##s41586-020-2646-5,no,
10.1038##s41586-021-03240-9,no,
10.1038##s41586-021-03274-z,no,
10.1038##s41586-023-05863-6,no,
10.1038##s41589-018-0160-y,no,
10.1038##s41589-018-0171-8,no,
10.1038##s41589-019-0369-4,no,
10.1038##s41589-019-0387-2,no,
10.1038##s41589-022-01038-y,no,
10.1038##s41593-021-00971-w,no,
10.1038##s41594-018-0059-z,no,
10.1038##s41594-018-0067-z,no,
10.1038##s41594-018-0068-y,no,
10.1038##s41594-018-0079-8,no,
10.1038##s41594-018-0082-0,no,
10.1038##s41594-018-0116-7,no,
10.1038##s41594-018-0180-z,no,
10.1038##s41594-019-0245-7,no,
10.1038##s41594-020-0425-5,no,
10.1038##s41594-022-00762-2,no,
10.1038##s41594-022-00796-6,no,
10.1038##s41594-023-01020-9,no,
10.1038##s41598-020-57419-7,no,
10.1038##s41598-020-68355-x,no,
10.1038##s41598-021-00236-3,no,
10.1038##s41598-022-17716-9,no,
10.1038##s42003-019-0427-1,no,
10.1038##s42003-019-0482-7,no,
10.1038##s42003-020-01160-4,no,
10.1038##s42003-021-01666-5,no,
10.1038##s42003-021-02462-x,no,
10.1038##sj.emboj.7601269,no,
10.1038##sj.emboj.7601410,no,
10.1038##sj.emboj.7601828,no,
10.1042##BCJ20220033,no,
10.1073##PNAS.0602915103,no,
10.1073##PNAS.0910365106,no,
10.1073##PNAS.1105687108,no,
10.1073##PNAS.1218504110,no,
10.1073##PNAS.1317903111,no,
10.1073##PNAS.1320692111,no,
10.1073##PNAS.1406855111,no,
10.1073##PNAS.181203898,no,
10.1073##PNAS.93.18.9420,no,
10.1073##pnas.0135651100,no,
10.1073##pnas.0400375101,no,
10.1073##pnas.0405274101,no,
10.1073##pnas.0406475101,no,
10.1073##pnas.0506254102,no,
10.1073##pnas.0507651102,no,
10.1073##pnas.0604567103,no,
10.1073##pnas.0608022103,no,
10.1073##pnas.0609773104,no,
10.1073##pnas.0609796104,no,
10.1073##pnas.0610348104,no,
10.1073##pnas.0611080104,no,
10.1073##pnas.0700979104,no,
10.1073##pnas.0706563104,no,
10.1073##pnas.0709388104,no,
10.1073##pnas.0712331105,no,
10.1073##pnas.0801466105,no,
10.1073##pnas.0807162105,no,
10.1073##pnas.0810663106,no,
10.1073##pnas.082666399,no,
10.1073##pnas.0902725106,no,
10.1073##pnas.0907054106,no,
10.1073##pnas.1000142107,no,
10.1073##pnas.1007071107,no,
10.1073##pnas.1009864107,no,
10.1073##pnas.1012556107,no,
10.1073##pnas.1108810108,no,
10.1073##pnas.1108858108,no,
10.1073##pnas.1119806109,no,
10.1073##pnas.1120087109,no,
10.1073##pnas.1120113109,no,
10.1073##pnas.1203219109,no,
10.1073##pnas.1205764109,no,
10.1073##pnas.1207912109,no,
10.1073##pnas.1209018109,no,
10.1073##pnas.1215078109,no,
10.1073##pnas.1218950110,no,
10.1073##pnas.1222308110,no,
10.1073##pnas.1302515110,no,
10.1073##pnas.1303333110,no,
10.1073##pnas.1309071110,no,
10.1073##pnas.1309777110,no,
10.1073##pnas.1311407110,no,
10.1073##pnas.1311485110,no,
10.1073##pnas.1314997111,no,
10.1073##pnas.1318705110,no,
10.1073##pnas.1321406111,no,
10.1073##pnas.1321562111,no,
10.1073##pnas.1323931111,no,
10.1073##pnas.1324141111,no,
10.1073##pnas.1400485111,no,
10.1073##pnas.1403097111,no,
10.1073##pnas.1414837111,no,
10.1073##pnas.1422997112,no,
10.1073##pnas.1509854112,no,
10.1073##pnas.1518493112,no,
10.1073##pnas.1602531113,no,
10.1073##pnas.1605442113,no,
10.1073##pnas.1616191114,no,
10.1073##pnas.1620009114,no,
10.1073##pnas.1700761114,no,
10.1073##pnas.1705624114,no,
10.1073##pnas.1712153114,no,
10.1073##pnas.1718084115,no,
10.1073##pnas.1719813115,no,
10.1073##pnas.1800559115,no,
10.1073##pnas.1806206116,no,
10.1073##pnas.1812717115,no,
10.1073##pnas.1813715116,no,
10.1073##pnas.1814928115,no,
10.1073##pnas.1815472115,no,
10.1073##pnas.1817271116,no,
10.1073##pnas.1901346116,yes,mmpL3
10.1073##pnas.1902192116,no,
10.1073##pnas.1904210116,no,
10.1073##pnas.1908183117,no,
10.1073##pnas.2006526117,no,
10.1073##pnas.2006997117,no,
10.1073##pnas.2014896117,no,
10.1073##pnas.2016328118,no,
10.1073##pnas.2024651118,no,
10.1073##pnas.2102813118,no,
10.1073##pnas.2107335118,no,
10.1073##pnas.2117433119,no,
10.1073##pnas.2123226119,no,
10.1073##pnas.2215072120,no,
10.1073##pnas.240224997,no,
10.1074##JBC.M110.124529,no,
10.1074##JBC.M112.424507,no,
10.1074##JBC.M700203200,no,
10.1074##jbc.M109.006916,no,
10.1074##jbc.M113.501833,no,
10.1074##jbc.M115.685065,no,
10.1074##jbc.M115.689000,no,
10.1074##jbc.M116.766964,no,
10.1074##jbc.M508926200,no,
10.1074##jbc.M611653200,no,
10.1074##jbc.RA120.014118,no,
10.1080##09687680802552257,no,
10.1085##jgp.201411219,no,
10.1093##jb##mvs051,no,
10.1098##RSOB.120164,no,
10.1098##rsob.190066,no,
10.1107##S0907444908017162,no,
10.1107##S0907444913017575,no,
10.1107##S1399004714017313,no,
10.1107##S1399004715000978,no,
10.1107##S139900471500423X,no,
10.1107##S1399004715005210,no,
10.1107##S1600576719012846,no,
10.1107##S2052252519013496,no,
10.1107##S2052252520012142,no,
10.1107##S2052252522001907,no,
10.1107##S2053230X14024558,no,
10.1107##S2053230X1600279X,no,
10.1107##S2059798318012561,no,
10.1107##S205979832001517X,no,
10.1111##bph.15254,no,
10.1111##febs.15455,no,
10.1124##MOL.114.097360,no,
10.1126##SCIENCE.1127121,no,
10.1126##SCIENCE.1159262,no,
10.1126##SCIENCE.1164440,no,
10.1126##SCIENCE.1186303,no,
10.1126##SCIENCE.1231513,no,
10.1126##SCIENCE.1261512,no,
10.1126##SCIENCE.288.5470.1390,no,
10.1126##SCIENCE.AAD3873,no,
10.1126##sciadv.aav2671,no,
10.1126##sciadv.aax2518,no,
10.1126##sciadv.aay2042,no,
10.1126##sciadv.aba9854,no,
10.1126##sciadv.abb5419,no,
10.1126##sciadv.abc9174,no,
10.1126##sciadv.abe1508,no,
10.1126##sciadv.abe5504,no,
10.1126##sciadv.abp9011,no,
10.1126##science.1062977,no,
10.1126##science.1067778,no,
10.1126##science.1085028,no,
10.1126##science.1087619,no,
10.1126##science.1088196,no,
10.1126##science.1093087,no,
10.1126##science.1099366,no,
10.1126##science.1111199,no,
10.1126##science.1116269,no,
10.1126##science.1131542,no,
10.1126##science.1147614,no,
10.1126##science.1150577,no,
10.1126##science.1150755,no,
10.1126##science.1156213,no,
10.1126##science.1164772,no,
10.1126##science.1173654,no,
10.1126##science.1176088,no,
10.1126##science.1194396,no,
10.1126##science.1197410,no,
10.1126##science.1199098,no,
